Stud#;sex;Birth date ;sire;dam;birth place;current location;Date of death;Age/years;Cause of death;location 2;date;location 3;date;location 4;date;location 5;date;location 6;date;location 7;date;;;;;;;;;
168;m;01.01.1969;wild;wild;UMFOLOZI;HODENHAGN;19.11.1974;5,884931507;integumentary bacterial infection;UMFOLOZI;01.10.1969;SOEST;01.10.1971;ARNHEM;05.10.1971;SOEST;29.05.1974;CHILWORTH;01.08.1974;HODENHAGN;29.09.1974;;;;;;;;;
169;m;01.01.1969;wild;wild;UMFOLOZI;NEUWIED;19.03.1981;12,21917808;unk;UMFOLOZI;01.10.1969;SOEST;01.10.1971;ARNHEM;05.10.1971;GELSNKRKN;20.06.1978;NEUWIED;18.12.1979;;;;;;;;;;;
170;f;01.01.1969;wild;wild;UMFOLOZI;ARNHEM;03.09.1979;10,67671233;digestive bacterial infection;UMFOLOZI;01.10.1969;SOEST;01.10.1971;ARNHEM;05.10.1971;;;;;;;;;;;;;;;
171;f;01.01.1969;wild;wild;UMFOLOZI;ARNHEM;11.12.2000;31,96438356;infection;UMFOLOZI;01.10.1969;SOEST;01.10.1969;ARNHEM;05.10.1971;;;;;;;;;;;;;;;
172;f;01.01.1969;wild;wild;UMFOLOZI;ARNHEM;16.01.1980;11,04657534;digestive bacterial infection;UMFOLOZI;01.10.1969;SOEST;01.10.1969;ARNHEM;05.10.1971;;;;;;;;;;;;;;;
173;f;01.01.1969;wild;wild;UMFOLOZI;;30.05.1988;19,42191781;;UMFOLOZI;01.10.1969;SOEST;01.10.1971;ARNHEM;05.10.1971;GRONAU;04.02.1986;BOGOR;01.03.1986;;;;;;;;;;;
174;f;01.01.1969;wild;wild;UMFOLOZI;ARNHEM;10.01.2001;32,04657534;unk;UMFOLOZI;05.10.1969;SOEST;UNK;ARNHEM;05.10.1971;;;;;;;;;;;;;;;
175;f;01.01.1969;wild;wild;UMFOLOZI;ARNHEM;11.04.2003;34,29589041;unk;UMFOLOZI;05.10.1969;SOEST;UNK;ARNHEM;05.10.1971;;;;;;;;;;;;;;;
176;f;???;wild;wild;UMFOLOZI;ARNHEM;02.09.1975;;unk;UMFOLOZI;UNK;SOEST;UNK;ARNHEM;16.08.1974;;;;;;;;;;;;;;;
179;f;01.01.1970;wild;wild;UMFOLOZI;BERLIN TP;04.12.2001;31,94520548;unk;UMFOLOZI;01.01.1970;SOEST;30.04.1971;BERLIN TP;26.11.1971;USTI;04.08.1981;BERLIN TP;08.09.1988;;;;;;;;;;;
180;m;01.01.1965;wild;wild;UMFOLOZI;;25.09.2001;36,75616438;;UMFOLOZI;01.05.1965;SOEST;17.04.1970;GELSNKRKN;03.09.1970;ZEEHANDLER;05.09.1970;SAN ANTON;05.10.1970;BROWNSVIL;22.09.1999;;;;;;;;;
181;f;01.01.1966;wild;wild;UMFOLOZI;;31.12.2011;46,02739726;;UMFOLOZI;05.05.1966;SOEST;17.04.1970;GELSNKRKN;03.09.1970;ZEEHANDLER;05.09.1970;SAN ANTON;05.10.1970;;;;;;;;;;;
182;f;01.01.1969;wild;wild;UMFOLOZI;;20.12.2002;33,9890411;;UMFOLOZI;01.12.1969;SAN ANTON;13.02.1971;;;;;;;;;;;;;;;;;
183;m;01.01.1964;wild;wild;UMFOLOZI;PELISSANE;03.03.2000;36,19452055;infection;UMFOLOZI;01.01.1964;L RUHE;UNK;KREFELD;16.10.1971;PELISSANE;28.10.1993;;;;;;;;;;;;;
184;f;Mai 64;wild;wild;UMFOLOZI;PT ST PER;31.12.2011;47,69863014;;UMFOLOZI;01.05.1964;L RUHE;01.05.1971;KREFELD;07.05.1971;KOLN;29.07.1987;KREFELD;30.06.1988;PT ST PER;28.10.1993;;;;;;;;;
187;m;01.01.1968;wild;wild;UMFOLOZI;;18.09.1998;30,73424658;;UMFOLOZI;01.01.1969;NATAL PB;01.08.1971;SOEST;01.09.1971;FRESNO;19.09.1971;SD-WAP;30.05.1990;WILDS;10.12.1996;;;;;;;;;
193;m;01.01.1968;wild;wild;UMFOLOZI;PELISSANE;05.02.1993;25,11506849;unk;UMFOLOZI;28.02.1969;DELFTS;15.01.1970;WOBURNLTD;28.02.1970;HODENHAGN;05.05.1974;GELSNKRKN;15.04.1980;GENK;08.05.1980;TRIPOLI;22.05.1985;PELISSANE;16.03.1992;;;;;
194;m;01.01.1967;wild;wild;UMFOLOZI;;31.12.2011;45,02739726;;UMFOLOZI;28.02.1968;WOBURNLTD;28.02.1970;SOEST;30.12.1979;DELFTS;15.01.1980;MONTEVIDE;03.06.1980;;;;;;;;;;;
195;m;01.01.1968;wild;wild;UMFOLOZI;;23.12.2003;36;;UMFOLOZI;01.01.1968;WOBURNLTD;28.02.1970;DUBBO;06.05.1980;;;;;;;;;;;;;;;
196;f;01.01.1968;wild;wild;UMFOLOZI;;13.09.2000;32,72328767;;UMFOLOZI;01.01.1968;WOBURNLTD;28.02.1970;DUBBO;06.05.1980;;;;;;;;;;;;;;;
197;f;01.01.1968;wild;wild;UMFOLOZI;WOBURNLTD;20.09.2000;32,74246575;unk;UMFOLOZI;01.01.1968;S. AFRICA;UNK;WOBURNLTD;01.05.1970;;;;;;;;;;;;;;;
198;f;01.01.1968;wild;wild;UMFOLOZI;WOBURNLTD;12.05.2010;42,3890411;unk;UMFOLOZI;01.01.1968;NATAL PB;UNK;WOBURNLTD;28.02.1970;;;;;;;;;;;;;;;
199;f;01.01.1966;wild;wild;UMFOLOZI;AYWAILLE;12.01.2007;41,05753425;Malicious destruction, digestive trauma;UMFOLOZI;19.05.1966;L RUHE;UNK;KOLN;17.05.1972;DVURKRALV;23.08.1990;AYWAILLE;09.07.1996;;;;;;;;;;;
200;m;01.01.1969;wild;wild;UMFOLOZI;KATOWICE;05.07.2011;42,53424658;euthanasia;UMFOLOZI;08.01.1970;L RUHE;12.04.1970;KATOWICE;29.08.1971;;;;;;;;;;;;;;;
201;f;01.01.1968;wild;wild;UMFOLOZI;KATOWICE;08.02.1995;27,12328767;infection;UMFOLOZI;08.08.1969;L RUHE;12.04.1970;KATOWICE;08.08.1971;;;;;;;;;;;;;;;
208;f;01.01.1970;wild;wild;UMFOLOZI;OSTRAVA;07.03.2008;38,20547945;old age;UMFOLOZI;01.01.1970;DVURKRALV;31.05.1972;OSTRAVA;30.10.1974;;;;;;;;;;;;;;;
209;f;01.01.1970;wild;wild;UMFOLOZI;USTI;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;DVURKRALV;31.05.1972;USTI;19.11.1980;;;;;;;;;;;;;;;
210;f;01.01.1970;wild;wild;UMFOLOZI;WROCLAW;27.05.2004;34,42465753;unk;UMFOLOZI;01.01.1970;DVURKRALV;31.05.1972;WROCLAW;01.10.1980;;;;;;;;;;;;;;;
211;f;31.05.1970;wild;wild;UMFOLOZI;KATOWICE;31.12.2011;41,61369863;;UMFOLOZI;01.01.1970;DVURKRALV;31.05.1972;KATOWICE;04.11.1980;;;;;;;;;;;;;;;
214;m;21.01.1973;70;103;WHIPSNADE;;24.12.2001;28,94246575;;WHIPSNADE;21.01.1973;BEIJING;12.12.1974;TSINAN;18.09.1999;;;;;;;;;;;;;;;
217;m;05.03.1973;70;104;WHIPSNADE;WHIPSNADE;27.01.1975;1,898630137;unk;WHIPSNADE;05.03.1973;;;;;;;;;;;;;;;;;;;
218;m;03.02.1973;52;157;SD-WAP;;06.09.2001;28,60821918;;SD-WAP;03.02.1973;TORONTO;08.08.1974;;;;;;;;;;;;;;;;;
221;m;01.01.1968;wild;wild;wild;GIVSKUD;05.08.2007;39,61917808;euthanasia;WILD;01.01.1968;HILVARENB;26.09.1972;GIVSKUD;03.10.1996;;;;;;;;;;;;;;;
222;f;26.09.1969;wild;wild;UMFOLOZI;OSNABRUCK;05.12.2007;38,21643836;euthanasia;UMFOLOZI;26.11.1969;SOEST;UNK;HILVARENB;26.09.1972;OSNABRUCK;26.07.1979;;;;;;;;;;;;;
223;f;01.01.1969;wild;wild;UMFOLOZI;HILVARENB;29.11.2005;36,93424658;unk;UMFOLOZI;01.01.1970;SOEST;UNK;HILVARENB;06.07.1973;;;;;;;;;;;;;;;
224;f;01.01.1970;wild;wild;UMFOLOZI;PEAUGRES;31.12.2011;42,02465753;;UMFOLOZI;01.01.1971;SOEST;UNK;HILVARENB;06.07.1973;PEAUGRES;08.06.2005;;;;;;;;;;;;;
225;f;01.01.1970;wild;wild;UMFOLOZI;HILVARENB;16.04.2009;39,31506849;euthanasia;UMFOLOZI;01.01.1970;HILVARENB;26.09.1972;;;;;;;;;;;;;;;;;
226;f;07.10.1974;94;103;WHIPSNADE;TOUROPARC;08.02.2006;31,36164384;old age;WHIPSNADE;07.10.1974;MARWELL;10.11.1986;WHIPSNADE;18.08.1988;TOUROPARC;08.06.1990;;;;;;;;;;;;;
227;f;29.06.1973;wild;254;BLACKPOOL;;31.12.2011;38,53150685;;BLACKPOOL;29.06.1973;WHIPSNADE;05.11.1974;;;;;;;;;;;;;;;;;
228;m;01.01.1973;wild;wild;UMFOLOZI;ARNHEM;23.12.1996;23,99178082;unk;UMFOLOZI;16.02.1973;SOEST;UNK;ARNHEM;16.08.1974;;;;;;;;;;;;;;;
229;m;01.01.1970;wild;wild;UMFOLOZI;PELISSANE;24.07.2010;40,58630137;euthanasia;UMFOLOZI;16.08.1970;SOEST;UNK;ARNHEM;16.08.1974;ANTWERP;01.07.1998;PELISSANE;04.09.2001;;;;;;;;;;;
230;f;01.01.1971;wild;wild;UMFOLOZI;ARNHEM;31.12.2011;41,02465753;;UMFOLOZI;17.08.1971;SOEST;UNK;ARNHEM;16.08.1974;;;;;;;;;;;;;;;
231;f;04.12.1974;93;140;COPENHAGE;BANDHOLM;08.06.1997;22,5260274;unk;COPENHAGE;04.12.1974;BANDHOLM;10.09.1976;;;;;;;;;;;;;;;;;
232;m;14.12.1974;93;141;COPENHAGE;BANDHOLM;23.12.1991;17,03561644;unk;COPENHAGE;14.12.1974;BANDHOLM;10.09.1976;;;;;;;;;;;;;;;;;
233;m;01.01.1962;wild;wild;UMFOLOZI;;31.12.2011;50,03013699;;UMFOLOZI;05.08.1962;L RUHE;04.06.1966;RAPERSVIL;05.08.1966;;;;;;;;;;;;;;;
234;f;01.01.1963;wild;wild;UMFOLOZI;;31.12.2011;49,03013699;;UMFOLOZI;05.08.1963;L RUHE;04.06.1966;RAPERSVIL;05.06.1966;;;;;;;;;;;;;;;
235;m;01.01.1969;wild;wild;NATAL SA;;12.05.1991;22,37260274;;NATAL SA;01.01.1970;BANDHOLM;17.05.1972;FLIEGENPI;22.05.1974;RIOJANEIR;17.07.1974;;;;;;;;;;;;;
239;m;01.01.1969;wild;wild;S. AFRCAR;;31.12.2011;43,02465753;;S. AFRCAR;01.01.1969;HANNOVER;16.12.1971;HODENHAGN;11.09.1991;BODE W;13.05.1992;PT ST PER;30.05.1992;DEALER;29.04.1997;;;;;;;;;
240;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;07.06.1979;8,435616438;unk;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;01.08.1973;;;;;;;;;;;;;;;
241;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;01.08.1973;;;;;;;;;;;;;;;
242;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;12.08.1973;;;;;;;;;;;;;;;
243;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;02.02.2012;41,11506849;;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;12.08.1973;;;;;;;;;;;;;;;
244;m;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;06.11.1994;23,8630137;unk;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;12.08.1973;;;;;;;;;;;;;;;
245;m;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;12.08.1973;;;;;;;;;;;;;;;
246;m;01.01.1971;wild;wild;UMFOLOZI;;06.12.1998;27,94794521;;UMFOLOZI;01.01.1971;NATAL PB;01.01.1973;RAMAD GAN;12.08.1973;QALQILYAH;13.07.1988;;;;;;;;;;;;;
247;m;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;NATAL PB;UNK;RAMAD GAN;12.07.1973;BROOKER J;12.08.1988;KRUGERSTO;30.08.1988;;;;;;;;;;;
250;f;01.01.1969;wild;wild;UMFOLOZI;MADRID Z;31.12.2011;43,02465753;;UMFOLOZI;UNK;SOEST;07.10.1971;MADRID Z;15.10.1971;;;;;;;;;;;;;;;
251;f;01.01.1969;wild;wild;UMFOLOZI;MADRID Z;31.12.2011;43,02465753;;UMFOLOZI;UNK;SOEST;07.10.1971;MADRID Z;15.10.1971;;;;;;;;;;;;;;;
252;m;01.01.1969;wild;wild;UMFOLOZI;COULANGE;31.12.2011;43,02465753;;UMFOLOZI;01.07.1969;NATAL PB;02.06.1972;DELFTS;03.06.1972;COLCHESTR;03.07.1972;BLACKPOOL;08.08.1972;PAIGTON;20.02.1992;COULANGE;15.01.2003;;;;;;;
253;f;01.01.1968;wild;wild;UMFOLOZI;PELISSANE;10.08.2011;43,63561644;euthanasia;UMFOLOZI;03.07.1968;NATAL PB;02.06.1972;DELFTS;03.06.1972;COLCHESTR;03.07.1972;BLACKPOOL;08.08.1972;PELISSANE;30.11.1991;;;;;;;;;
254;f;01.01.1967;wild;wild;UMFOLOZI;PELISSANE;04.08.2004;37,61643836;unk;UMFOLOZI;01.01.1967;NATAL PB;02.06.1972;DELFTS;03.06.1972;COLCHESTR;03.07.1972;BLACKPOOL;08.08.1972;PELISSANE;30.11.1991;;;;;;;;;
255;m;01.01.1969;wild;wild;UMFOLOZI;LONGLEAT;17.12.2008;39,98630137;old age;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;LONGLEAT;29.11.1993;;;;;;;;;;;;;
256;m;01.01.1969;wild;wild;UMFOLOZI;WINDSOR;11.09.1979;10,69863014;unk;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;;;;;;;;;;;;;;;
257;m;01.01.1969;wild;wild;UMFOLOZI;LISIEUX Z;31.01.2009;40,10958904;unk;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;LONGLEAT;29.11.1993;LISIEUX Z;22.04.1995;;;;;;;;;;;
258;f;01.01.1969;wild;wild;UMFOLOZI;LISIEUX Z;31.12.2011;43,02465753;;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;LONGLEAT;29.11.1993;LISIEUX Z;22.04.1995;;;;;;;;;;;
259;f;01.01.1967;wild;wild;UMFOLOZI;WINDSOR;10.08.1977;10,61369863;unk;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;;;;;;;;;;;;;;;
260;f;01.01.1967;wild;wild;UMFOLOZI;LONGLEAT;08.09.2000;33,70958904;euthanasia;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;LONGLEAT;29.11.1993;;;;;;;;;;;;;
261;f;01.01.1967;wild;wild;UMFOLOZI;LONGLEAT;Jan 06;39,02739726;unk;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;WINDSOR;01.09.1972;LONGLEAT;29.11.1993;;;;;;;;;;;;;
262;f;01.01.1969;wild;wild;UMFOLOZI;DUBLIN;07.05.2008;39,37260274;euthanasia;UMFOLOZI;01.09.1969;NATAL PB;01.06.1972;SOEST;30.06.1972;WINDSOR;01.09.1973;LONGLEAT;29.11.1993;DUBLIN;17.04.1997;;;;;;;;;
274;f;01.01.1971;wild;wild;NATAL SA;BARCELONA;01.02.1996;25,10136986;unk;NATAL SA;01.04.1971;SAFARI MA;12.04.1973;BARCELONA;11.04.1975;;;;;;;;;;;;;;;
277;f;18.09.1966;wild;wild;UMFOLOZI;;31.12.2011;45,31506849;;UMFOLOZI;01.09.1968;NATAL PB;01.08.1971;SANDIEGOZ;18.09.1971;SD-WAP;01.11.1972;;;;;;;;;;;;;
278;m;09.10.1974;70;99;WHIPSNADE;;31.12.2011;37,25205479;;WHIPSNADE;09.10.1974;GELSNKRKN;05.01.1976;GANSRNDRF;19.05.1976;GELSNKRKN;07.12.1979;NEUWIED;23.09.1982;GRUNWALD;01.03.1984;FASANO;15.11.1985;;;;;;;
279;m;15.10.1974;94;96;WHIPSNADE;LIBEREC;16.05.1977;2,58630137;cardiovascular abnormality, infection;WHIPSNADE;15.10.1974;GELSNKRKN;05.01.1976;GANSRNDRF;17.05.1976;GELSNKRKN;17.08.1976;DVURKRALV;07.09.1976;LIBEREC;19.10.1976;;;;;;;;;
286;m;19.01.1976;52;147;SD-WAP;;29.05.1977;1,35890411;;SD-WAP;19.01.1976;SOEST;28.05.1977;;;;;;;;;;;;;;;;;
287;m;12.03.1976;52;155;SD-WAP;;31.05.1978;2,219178082;;SD-WAP;12.03.1976;SOEST;28.05.1977;HILVARENB;04.11.1977;SOEST;29.03.1978;MARACAIBO;13.03.1978;;;;;;;;;;;
289;f;04.12.1974;52;UNK;SD-WAP;;Dez 77;2,994520548;;SD-WAP;04.12.1974;SOEST;28.05.1977;;;;;;;;;;;;;;;;;
290;f;01.01.1950;wild;wild;UGANDA;LONDON RP;19.05.1964;14,3890411;unk;UGANDA;01.01.1950;SEAGO;01.01.1955;LONDON RP;25.07.1955;;;;;;;;;;;;;;;
291;f;01.01.1970;wild;wild;HLUHLUWE;THOIRY;31.12.2011;42,02465753;;HLUHLUWE;01.01.1970;NATAL PB;01.04.1974;PRETORIA;10.04.1974;PLANCKNDL;12.08.1974;ANTWERP;04.11.1978;THOIRY;19.07.2000;;;;;;;;;
292;f;01.01.1970;wild;wild;HLUHLUWE;;18.02.1986;16,14246575;;HLUHLUWE;01.01.1970;NATAL PB;01.04.1974;PRETORIA;10.04.1974;PLANCKNDL;12.08.1974;BOGOR;18.01.1976;;;;;;;;;;;
305;m;01.01.1967;wild;wild;BUSSOLENG;BUSSOLENG;31.12.2011;45,02739726;;UMFOLOZI;01.01.1968;NATAL PB;25.12.1968;HLUHLUWE;28.12.1968;BUSSOLENG;10.05.1974;;;;;;;;;;;;;
306;f;01.01.1967;wild;wild;UMFOLOZI;BUSSOLENG;31.12.2011;45,02739726;;UMFOLOZI;01.01.1968;NATAL PB;25.12.1968;HLUHLUWE;28.12.1968;BUSSOLENG;10.05.1974;;;;;;;;;;;;;
307;f;01.01.1972;wild;wild;UMFOLOZI;WROCLAW;04.12.1985;13,93424658;unk;UMFOLOZI;01.01.1972;DEMMER;13.05.1975;DVURKRALV;05.10.1977;WROCLAW;03.10.1980;;;;;;;;;;;;;
316;m;07.07.1976;221;225;HILVARENB;OSNABRUCK;31.12.2011;35,50684932;;HILVARENB;07.07.1976;OSNABRUCK;26.07.1979;;;;;;;;;;;;;;;;;
319;m;01.01.1969;wild;wild;UMFOLOZI;;22.05.1999;30,40547945;;UMFOLOZI;01.10.1969;DELFTS;25.08.1972;FLIEGENPI;20.09.1972;SAN ROQUE;01.10.1972;FLIEGENPI;25.02.1976;SINGAPORE;02.06.1976;;;;;;;;;
320;m;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.01.1972;NATAL PB;01.06.1973;DELFTS;30.06.1973;GANSRNDRF;25.03.1975;GELSNKRKN;07.12.1979;FLIEGENPI;18.01.1986;BOGOR;17.02.1986;;;;;;;
328;f;24.09.1976;89;106;WHIPSNADE;WHIPSNADE;22.11.1988;12,16986301;unk;WHIPSNADE;24.09.1976;DUBLIN ;10.11.1977;WHIPSNADE;09.07.1988;;;;;;;;;;;;;;;
329;f;07.10.1976;70;104;WHIPSNADE;WHIPSNADE;25.03.2008;31,48493151;unk;WHIPSNADE;07.10.1976;;;;;;;;;;;;;;;;;;;
330;m;10.10.1976;70;105;WHIPSNADE;DUBLIN;31.12.2011;35,24657534;;WHIPSNADE;10.10.1976;DUBLIN ;10.11.1977;;;;;;;;;;;;;;;;;
333;f;25.03.1976;52;150;SD-WAP;;29.05.1977;1,178082192;;SD-WAP;25.03.1976;SOEST;28.05.1977;;;;;;;;;;;;;;;;;
340;m;01.01.1969;wild;wild;UMFOLOZI;MUNSTER;22.11.1995;26,90684932;anesth/restraint, digestive mechanical abnormality;UMFOLOZI;01.01.1970;FLIEGENPI;01.06.1973;MUNSTER;23.01.1974;;;;;;;;;;;;;;;
341;f;01.01.1969;wild;wild;UMFOLOZI;MUNSTER;21.10.1976;7,808219178;unk;UMFOLOZI;01.01.1970;FLIEGENPI;30.06.1973;MUNSTER;23.01.1974;;;;;;;;;;;;;;;
342;f;23.10.1976;70;100;WHIPSNADE;;26.01.1984;7,263013699;;WHIPSNADE;23.10.1976;DUBBO;17.09.1981;;;;;;;;;;;;;;;;;
343;m;01.01.1971;wild;wild;UMFOLOZI;EMMEN;18.08.2004;33,65205479;anesth/restraint;UMFOLOZI;01.01.1971;SOEST;05.05.1975;EMMEN;10.05.1975;;;;;;;;;;;;;;;
344;f;01.01.1971;wild;wild;UMFOLOZI;EMMEN;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;SOEST;05.05.1975;EMMEN;10.05.1975;;;;;;;;;;;;;;;
345;f;01.01.1953;wild;wild;SUDAN;;12.09.1978;25,71232877;;SUDAN;01.01.1970;KHARTOUM;01.01.1972;AL AIN;01.01.1973;;;;;;;;;;;;;;;
347;m;01.01.1968;wild;wild;SUDAN;;16.01.1978;10,04931507;;SUDAN;01.04.1968;KHARTOUM;01.04.1970;;;;;;;;;;;;;;;;;
348;m;01.01.1972;wild;wild;SUDAN;;31.12.2011;40,02465753;;SUDAN;01.01.1972;KHARTOUM;01.04.1973;SD-WAP;12.08.1990;;;;;;;;;;;;;;;
351;f;01.01.1965;wild;wild;UGANDA;DVURKRALV;26.06.1992;27,50136986;unk;UGANDA;01.01.1965;KNOWSLEY;01.01.1979;DVURKRALV;27.08.1977;;;;;;;;;;;;;;;
352;f;01.01.1966;wild;wild;UMFOLOZI;KNOWSLEY;05.10.2007;41,78630137;euthanasia;UMFOLOZI;01.01.1966;SOEST;01.01.1971;SOUTH HAMP;01.01.1971;KNOWSLEY;01.01.1973;;;;;;;;;;;;;
353;m;01.01.1966;wild;wild;NATAL SA;KNOWSLEY;04.07.1992;26,52328767;unk;NATAL SA;01.01.1966;KNOWSLEY;01.11.1972;;;;;;;;;;;;;;;;;
354;m;01.01.1966;wild;wild;NATAL SA;;31.12.2011;46,02739726;;NATAL SA;01.01.1966;KNOWSLEY;01.11.1972;ALGERIA;01.01.1982;;;;;;;;;;;;;;;
355;m;01.01.1966;wild;wild;UMFOLOZI;WOBURNLTD;01.03.2011;45,19178082;unk;UMFOLOZI;01.01.1966;KNOWSLEY;01.11.1972;WOBURNLTD;07.11.1985;;;;;;;;;;;;;;;
356;f;Jun 66;wild;wild;NATAL SA;BLAIRDRUM;06.06.2004;38,04109589;unk;NATAL SA;01.11.1966;KNOWSLEY;01.11.1972;CHILWORTH;01.03.1973;BEWDLEY;02.03.1973;BLAIRDRUM;10.11.1997;;;;;;;;;;;
357;f;01.01.1967;wild;wild;NATAL SA;KNOWSLEY;01.03.1973;6,167123288;unk;NATAL SA;01.01.1967;KNOWSLEY;01.11.1972;;;;;;;;;;;;;;;;;
360;m;01.01.1971;wild;wild;HLUHLUWE;AUGSBURG;31.12.2011;41,02465753;;HLUHLUWE;01.04.1971;FLIEGENPI;17.11.1974;MUNICH;20.11.1974;SALZBURG;21.08.1991;AUGSBURG;06.08.2008;;;;;;;;;;;
361;f;01.01.1971;wild;wild;HLUHLUWE;AUGSBURG;31.12.2011;41,02465753;;HLUHLUWE;01.11.1971;FLIEGENPI;17.11.1974;MUNICH;20.11.1974;SALZBURG;21.08.1991;USTI;30.06.1998;SALZBURG;30.08.2000;AUGSBURG;06.08.2008;;;;;;;
362;f;Apr 72;wild;wild;HLUHLUWE;SALZBURG;09.11.2010;38,63287671;unk;HLUHLUWE;01.11.1971;FLIEGENPI;17.11.1974;MUNICH;20.11.1974;SALZBURG;21.08.1991;USTI;30.06.1998;SALZBURG;;;;;;;;;;
367;f;01.01.1976;wild;wild;UMFOLOZI;;31.12.2011;36,02191781;;UMFOLOZI;26.01.1976;NATAL PB;01.02.1977;DEMMER;07.02.1977;MEDRANO C;05.09.1980;;;;;;;;;;;;;
368;m;01.01.1976;wild;wild;UMFOLOZI;;31.12.2011;36,02191781;;UMFOLOZI;26.01.1976;NATAL PB;01.02.1977;DEMMER;07.02.1977;MEDRANO C;05.09.1980;;;;;;;;;;;;;
369;m;01.01.1973;wild;wild;UMFOLOZI;DORTMUND;18.11.1993;20,89315068;euthanasia;UMFOLOZI;01.06.1973;DELFTS;01.06.1975;DORTMUND;10.07.1975;;;;;;;;;;;;;;;
370;f;01.01.1973;wild;wild;UMFOLOZI;DORTMUND;07.09.1983;10,68767123;Injury from exhibit mate;UMFOLOZI;01.06.1973;DELFTS;01.06.1975;DORTMUND;10.07.1975;;;;;;;;;;;;;;;
371;m;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;NATAL PB;01.06.1973;SOEST;30.06.1973;DVURKRALV;09.07.1973;OSTRAVA;30.08.1974;DVURKRALV;09.04.2010;;;;;;;;;
372;m;01.01.1973;wild;wild;SUDAN;;31.12.2011;39,02191781;;SUDAN;01.01.1973;DVURKRALV;19.09.1975;KENYA;19.09.2009;;;;;;;;;;;;;;;
373;m;01.01.1972;wild;wild;SUDAN;DVURKRALV;14.08.2006;34,64109589;unk;SUDAN;01.01.1972;DVURKRALV;19.09.1975;SD-WAP;14.10.1989;DVURKRALV;15.07.1988;;;;;;;;;;;;;
374;f;01.01.1974;wild;wild;SUDAN;;31.12.2011;38,02191781;;SUDAN;01.01.1974;DVURKRALV;19.09.1975;SD-WAP;14.10.1989;;;;;;;;;;;;;;;
375;f;01.01.1973;wild;wild;SUDAN;DVURKRALV;04.01.1982;9,01369863;envrion/behav musculoskeletal trauma;SUDAN;01.01.1973;DVURKRALV;19.09.1975;;;;;;;;;;;;;;;;;
376;f;01.01.1972;wild;wild;SUDAN;;30.05.2007;35,43287671;;SUDAN;01.01.1972;DVURKRALV;19.09.1975;SD-WAP;14.10.1989;;;;;;;;;;;;;;;
377;f;01.01.1972;wild;wild;SUDAN;DVURKRALV;26.05.2011;39,42465753;unk;SUDAN;01.01.1972;DVURKRALV;19.09.1975;;;;;;;;;;;;;;;;;
382;m;21.12.1976;93;140;COPENHAGE;GIVSKUD;25.10.1995;18,85479452;unk;COPENHAGE;21.12.1976;GIVSKUD;14.05.1979;;;;;;;;;;;;;;;;;
390;m;01.01.1969;wild;wild;UMFOLOZI;;31.12.2011;43,02465753;;UMFOLOZI;01.01.1969;NATAL PB;01.01.1974;KINGS ISL;25.04.1974;;;;;;;;;;;;;;;
391;f;Apr 69;wild;wild;UMFOLOZI;;31.12.2011;42,77808219;;UMFOLOZI;01.01.1969;NATAL PB;01.01.1974;KINGS ISL;25.04.1974;JACKSONVIL;18.12.1975;YULEE;03.12.1992;DISNEY AK;29.10.1998;FORTWORTH;04.04.2003;FOSSILRIM;14.05.2008;;;;;
393;m;27.10.1976;70;97;EDINBURGH;EDINBURGH;22.10.1979;2,98630137;unk;EDINBURGH;27.10.1976;;;;;;;;;;;;;;;;;;;
