Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
;1280;f;2000-01-10;491;1043;HODENHAGN;VESZPREM;0;;
;1336;m;2000-08-29;491;496;HODENHAGN;HODENHAGN;0;;
;1337;f;2000-12-18;491;496;HODENHAGN;HODENHAGN;0;;
;1446;m;2002-10-20;491;496;HODENHAGN;NYIREGYHA;0;;
;1447;f;2002-12-31;491;494;HODENHAGN;OSNABRUCK;0;;
;1577;m;2004-11-17;491;494;HODENHAGN;HODENHAGN;0;;
;1578;f;2005-01-07;491;496;HODENHAGN;OSNABRUCK;0;;
;1595;m;2006-08-30;491;494;HODENHAGN;HODENHAGN;0;;
Sire;459;m;1969-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;11,1;1
;711;m;1980-01-20;459;461;TUNIS ZOO;TUNIS ZOO;0;;
Sire;1233;m;1999-02-08;828;856;MARWELL;BORAS;0;12,8;1
;2067;f;2011-11-16;1233;1338;BORAS;BORAS;0;;
Sire;143;m;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;22,2;1
;826;m;1985-02-27;143;218;TORONTO;TORONTO;0;;
